AvgMonthlyCharge,AvgTenure,Churn,ChurnedCustomers,ChurnFlag,ChurnRate,Contract,customerID,Dependents,DeviceProtection,gender,TotalCustomers,Sum of TotalCharges,TenureGroup,Sum of tenure,TechSupport,StreamingTV,StreamingMovies,Sum of SeniorCitizen,PhoneService,PaymentMethod,Partner,PaperlessBilling,OnlineSecurity,OnlineBackup,MultipleLines,Sum of MonthlyCharges,InternetService,MRR_At_Risk
20.05,1,No,,0,,Month-to-month,8749-CLJXC,No,No,Male,1,20.05,0-12,1,No,No,No,0,Yes,Mailed check,No,No,No,No,No,20.05,No,
89.9,28,No,,0,,Month-to-month,8751-EDEKA,No,Yes,Female,1,2433.5,25-36,28,No,No,Yes,0,Yes,Credit card (automatic),Yes,No,No,Yes,No,89.9,Fiber optic,
95.35,69,No,,0,,Month-to-month,8755-IWJHN,No,Yes,Male,1,6382,61+,69,No,No,Yes,1,Yes,Bank transfer (automatic),Yes,Yes,No,Yes,Yes,95.35,Fiber optic,
44.95,68,No,,0,,Month-to-month,8756-RDDLT,No,No,Female,1,3085.35,61+,68,Yes,No,Yes,0,No,Electronic check,No,No,No,Yes,No phone service,44.95,DSL,
49.8,1,No,,0,,Month-to-month,8757-TFHHJ,No,No,Male,1,49.8,0-12,1,No,No,No,0,Yes,Credit card (automatic),No,Yes,Yes,No,No,49.8,DSL,
74.3,1,No,,0,,Month-to-month,8775-ERLNB,No,No,Male,1,74.3,0-12,1,No,No,No,1,Yes,Electronic check,Yes,No,No,No,Yes,74.3,Fiber optic,
74.85,9,No,,0,,Month-to-month,8778-LMWTJ,No,No,Female,1,708.2,0-12,9,No,No,No,0,Yes,Electronic check,No,Yes,Yes,No,No,74.85,Fiber optic,
19.2,25,No,,0,,Month-to-month,8780-RSYYU,No,No,Female,1,532.1,25-36,25,No,No,No,0,Yes,Credit card (automatic),No,Yes,No,No,No,19.2,No,
90.4,44,No,,0,,Month-to-month,8782-LKFPK,No,Yes,Male,1,4063,37-48,44,No,No,Yes,0,Yes,Mailed check,No,Yes,No,No,Yes,90.4,Fiber optic,
99.8,60,No,,0,,Month-to-month,8785-CJSHH,No,No,Female,1,5985.75,49-60,60,No,Yes,Yes,0,Yes,Electronic check,Yes,Yes,No,Yes,Yes,99.8,Fiber optic,
49.05,12,No,,0,,Month-to-month,8791-GFXLZ,No,No,Male,1,593.05,0-12,12,No,No,No,0,Yes,Bank transfer (automatic),No,Yes,No,Yes,No,49.05,DSL,
29.75,28,No,,0,,Month-to-month,8799-OXZMD,No,Yes,Female,1,790.7,25-36,28,No,No,No,0,No,Mailed check,No,Yes,No,No,No phone service,29.75,DSL,
84.05,12,No,,0,,Month-to-month,8800-JOOCF,Yes,No,Female,1,966.55,0-12,12,No,Yes,No,0,Yes,Electronic check,No,Yes,No,No,Yes,84.05,Fiber optic,
107.5,30,No,,0,,Month-to-month,8800-ZKRFW,Yes,Yes,Female,1,3242.5,25-36,30,Yes,Yes,Yes,0,Yes,Electronic check,Yes,Yes,No,Yes,Yes,107.5,Fiber optic,
49.2,2,No,,0,,Month-to-month,8805-JNRAZ,No,No,Female,1,103.7,0-12,2,No,No,No,0,Yes,Mailed check,No,No,No,Yes,No,49.2,DSL,
40.35,41,No,,0,,Month-to-month,8807-ARQET,No,No,Female,1,1677.85,37-48,41,No,No,Yes,0,No,Electronic check,No,Yes,No,Yes,No phone service,40.35,DSL,
25.4,25,No,,0,,Month-to-month,8815-LMFLX,Yes,No,Male,1,546.85,25-36,25,No,No,No,0,Yes,Bank transfer (automatic),Yes,Yes,No,No,Yes,25.4,No,
104.45,46,No,,0,,Month-to-month,8818-DOPVL,No,Yes,Female,1,4863.85,37-48,46,No,Yes,Yes,1,Yes,Electronic check,No,Yes,No,Yes,Yes,104.45,Fiber optic,
80.45,31,No,,0,,Month-to-month,8819-IMISP,No,No,Male,1,2429.1,25-36,31,No,No,No,0,Yes,Electronic check,No,Yes,No,Yes,Yes,80.45,Fiber optic,
60.2,60,No,,0,,Month-to-month,8847-GEOOQ,No,Yes,Male,1,3582.4,49-60,60,Yes,Yes,Yes,0,No,Bank transfer (automatic),Yes,Yes,No,Yes,No phone service,60.2,DSL,
91.25,33,No,,0,,Month-to-month,8849-AYPTR,No,No,Male,1,2964.05,25-36,33,No,Yes,Yes,0,Yes,Electronic check,Yes,No,No,No,No,91.25,Fiber optic,
71.05,25,No,,0,,Month-to-month,8851-RAGOV,No,No,Female,1,1837.7,25-36,25,Yes,No,Yes,0,Yes,Mailed check,Yes,Yes,Yes,Yes,No,71.05,DSL,
84.55,45,No,,0,,Month-to-month,8868-GAGIO,No,Yes,Male,1,3713.95,37-48,45,No,No,No,0,Yes,Mailed check,Yes,Yes,Yes,No,Yes,84.55,Fiber optic,
73.85,6,No,,0,,Month-to-month,8873-GLDMH,No,No,Female,1,401.3,0-12,6,No,No,No,0,Yes,Mailed check,No,Yes,No,No,Yes,73.85,Fiber optic,
84.35,20,No,,0,,Month-to-month,8875-AKBYH,No,No,Male,1,1745.2,13-24,20,No,Yes,No,1,Yes,Electronic check,No,Yes,No,No,Yes,84.35,Fiber optic,
59.45,52,No,,0,,Month-to-month,8878-RYUKI,No,Yes,Female,1,3043.7,49-60,52,No,No,Yes,0,Yes,Electronic check,No,Yes,No,No,No,59.45,DSL,
49.55,1,No,,0,,Month-to-month,8885-QSQBX,No,No,Female,1,49.55,0-12,1,No,No,No,0,Yes,Bank transfer (automatic),No,No,Yes,No,No,49.55,DSL,
44.25,7,No,,0,,Month-to-month,8887-IPQNC,No,No,Female,1,313.45,0-12,7,No,No,No,0,Yes,Mailed check,Yes,Yes,No,No,No,44.25,DSL,
25,1,No,,0,,Month-to-month,8896-BQTTI,No,No,Male,1,25,0-12,1,No,No,No,0,Yes,Mailed check,No,Yes,No,No,Yes,25,No,
101.75,15,No,,0,,Month-to-month,8903-WMRNW,No,Yes,Female,1,1669.4,13-24,15,No,Yes,Yes,0,Yes,Electronic check,Yes,No,Yes,No,No,101.75,Fiber optic,
55.3,2,No,,0,,Month-to-month,8903-XEBGX,Yes,No,Male,1,108.65,0-12,2,No,No,Yes,0,Yes,Electronic check,No,Yes,No,No,No,55.3,DSL,
24.95,54,No,,0,,Month-to-month,8904-OPDCK,No,No,Male,1,1364.75,49-60,54,No,No,No,1,No,Bank transfer (automatic),Yes,Yes,No,No,No phone service,24.95,DSL,
71.55,34,No,,0,,Month-to-month,8910-LEDAG,No,No,Male,1,2427.35,25-36,34,No,No,No,1,Yes,Credit card (automatic),Yes,No,No,No,No,71.55,Fiber optic,
55.95,18,No,,0,,Month-to-month,8930-XOTDP,Yes,No,Female,1,1082.8,13-24,18,No,Yes,No,0,Yes,Mailed check,Yes,No,No,No,No,55.95,DSL,
20.45,12,No,,0,,Month-to-month,8942-DBMHZ,No,No,Male,1,255.35,0-12,12,No,No,No,0,Yes,Mailed check,No,No,No,No,No,20.45,No,
19.45,15,No,,0,,Month-to-month,8944-AILEF,No,No,Male,1,340.85,13-24,15,No,No,No,0,Yes,Credit card (automatic),Yes,Yes,No,No,No,19.45,No,
44.95,1,No,,0,,Month-to-month,8950-MTZNV,No,No,Male,1,44.95,0-12,1,No,No,No,0,Yes,Mailed check,No,Yes,No,No,No,44.95,DSL,
55.9,3,No,,0,,Month-to-month,8963-JLGJT,Yes,Yes,Male,1,157.55,0-12,3,No,No,No,0,Yes,Mailed check,No,No,Yes,No,No,55.9,DSL,
20.55,22,No,,0,,Month-to-month,8963-MQVYN,Yes,No,Female,1,469.85,13-24,22,No,No,No,0,Yes,Electronic check,No,Yes,No,No,No,20.55,No,
50.45,14,No,,0,,Month-to-month,8967-SZQAS,No,No,Female,1,765.45,13-24,14,No,No,No,0,Yes,Electronic check,No,No,No,Yes,No,50.45,DSL,
20.15,1,No,,0,,Month-to-month,8974-OVACP,No,No,Female,1,20.15,0-12,1,No,No,No,0,Yes,Mailed check,No,No,No,No,No,20.15,No,
62.1,35,No,,0,,Month-to-month,8980-WQFWL,No,Yes,Female,1,2096.1,25-36,35,No,No,Yes,0,Yes,Electronic check,No,Yes,No,No,No,62.1,DSL,
78,11,No,,0,,Month-to-month,8981-FJGLA,Yes,Yes,Male,1,851.8,0-12,11,No,No,No,0,Yes,Mailed check,No,Yes,No,No,Yes,78,Fiber optic,
69.05,9,No,,0,,Month-to-month,8990-ZXLSU,No,No,Female,1,651.5,0-12,9,No,No,No,0,Yes,Electronic check,No,No,No,No,No,69.05,Fiber optic,
18.85,1,No,,0,,Month-to-month,8992-CEUEN,No,No,Female,1,18.85,0-12,1,No,No,No,0,Yes,Electronic check,No,No,No,No,No,18.85,No,
61.65,21,No,,0,,Month-to-month,8992-OBVDG,No,Yes,Male,1,1393.6,13-24,21,No,No,Yes,0,Yes,Mailed check,No,No,No,No,No,61.65,DSL,
56,13,No,,0,,Month-to-month,8992-VONJD,Yes,No,Female,1,764.55,13-24,13,No,No,No,0,Yes,Electronic check,No,Yes,Yes,Yes,No,56,DSL,
69.15,7,No,,0,,Month-to-month,8993-IZEUX,No,No,Male,1,488.65,0-12,7,No,No,No,0,Yes,Bank transfer (automatic),No,No,No,No,No,69.15,Fiber optic,
79.9,42,No,,0,,Month-to-month,9003-CPATH,No,Yes,Male,1,3313.4,37-48,42,No,No,No,0,Yes,Electronic check,No,No,No,No,Yes,79.9,Fiber optic,
45.55,48,No,,0,,Month-to-month,9013-AQORL,Yes,Yes,Female,1,2108.35,37-48,48,No,No,Yes,0,No,Credit card (automatic),No,No,No,Yes,No phone service,45.55,DSL,
40.75,9,No,,0,,Month-to-month,9026-LHEVG,No,No,Female,1,359.4,0-12,9,No,No,Yes,0,No,Electronic check,No,No,No,Yes,No phone service,40.75,DSL,
25.05,7,No,,0,,Month-to-month,9027-YFHQJ,No,No,Male,1,152.95,0-12,7,No,No,No,0,Yes,Bank transfer (automatic),No,Yes,No,No,Yes,25.05,No,
79.3,32,No,,0,,Month-to-month,9029-FEGVJ,No,Yes,Female,1,2570,25-36,32,No,No,No,1,Yes,Mailed check,Yes,No,No,No,Yes,79.3,Fiber optic,
19.1,3,No,,0,,Month-to-month,9039-ZVJDC,No,No,Male,1,53.05,0-12,3,No,No,No,0,Yes,Mailed check,No,Yes,No,No,No,19.1,No,
20.75,35,No,,0,,Month-to-month,9046-DQMTP,No,No,Male,1,739.9,25-36,35,No,No,No,0,Yes,Bank transfer (automatic),No,No,No,No,No,20.75,No,
19.15,27,No,,0,,Month-to-month,9046-JBFWA,Yes,No,Male,1,537.35,25-36,27,No,No,No,0,Yes,Mailed check,No,No,No,No,No,19.15,No,
81.5,2,No,,0,,Month-to-month,9050-IKDZA,No,No,Female,1,162.55,0-12,2,No,Yes,No,1,Yes,Mailed check,No,No,No,No,No,81.5,Fiber optic,
109.4,65,No,,0,,Month-to-month,9052-VKDUW,No,Yes,Female,1,7227.45,61+,65,No,Yes,Yes,1,Yes,Credit card (automatic),Yes,Yes,Yes,Yes,Yes,109.4,Fiber optic,
89.2,41,No,,0,,Month-to-month,9053-EJUNL,No,No,Male,1,3645.75,37-48,41,No,Yes,No,0,Yes,Electronic check,No,Yes,No,Yes,Yes,89.2,Fiber optic,
88.75,22,No,,0,,Month-to-month,9054-FOWNV,Yes,Yes,Male,1,1885.15,13-24,22,No,Yes,No,0,Yes,Electronic check,Yes,Yes,No,No,Yes,88.75,Fiber optic,
94.4,65,No,,0,,Month-to-month,9058-HRZSV,No,Yes,Female,1,6126.15,61+,65,No,No,Yes,1,Yes,Electronic check,Yes,No,Yes,Yes,No,94.4,Fiber optic,
94.6,24,No,,0,,Month-to-month,9058-MJLZC,No,No,Female,1,2283.15,13-24,24,No,Yes,Yes,0,Yes,Electronic check,No,Yes,Yes,No,No,94.6,Fiber optic,
59.95,23,No,,0,,Month-to-month,9069-LGEUL,No,No,Male,1,1406,13-24,23,No,No,Yes,0,Yes,Bank transfer (automatic),Yes,Yes,Yes,No,No,59.95,DSL,
39.45,50,No,,0,,Month-to-month,9074-KGVOX,Yes,No,Male,1,2021.35,49-60,50,No,Yes,No,0,No,Credit card (automatic),Yes,Yes,Yes,No,No phone service,39.45,DSL,
100.75,47,No,,0,,Month-to-month,9079-LWTFD,No,No,Male,1,4669.2,37-48,47,Yes,Yes,No,0,Yes,Mailed check,No,No,Yes,Yes,Yes,100.75,Fiber optic,
58.35,12,No,,0,,Month-to-month,9089-UOWJG,Yes,Yes,Female,1,740.55,0-12,12,No,Yes,No,0,Yes,Credit card (automatic),Yes,Yes,No,No,No,58.35,DSL,
24.85,22,No,,0,,Month-to-month,9092-GDZKO,No,No,Male,1,493.4,13-24,22,No,No,No,0,Yes,Credit card (automatic),No,Yes,No,No,Yes,24.85,No,
94.2,11,No,,0,,Month-to-month,9093-FPDLG,No,Yes,Female,1,999.9,0-12,11,Yes,No,Yes,0,Yes,Electronic check,No,Yes,No,Yes,No,94.2,Fiber optic,
100.15,15,No,,0,,Month-to-month,9094-AZPHK,No,No,Female,1,1415,13-24,15,No,Yes,Yes,0,Yes,Electronic check,No,Yes,No,Yes,Yes,100.15,Fiber optic,
48.8,14,No,,0,,Month-to-month,9097-ZUBYC,No,No,Male,1,664.4,13-24,14,Yes,No,No,0,Yes,Bank transfer (automatic),Yes,No,No,No,No,48.8,DSL,
54.4,23,No,,0,,Month-to-month,9099-FTUHS,No,No,Female,1,1249.25,13-24,23,No,No,No,0,Yes,Electronic check,No,No,Yes,No,Yes,54.4,DSL,
19.4,2,No,,0,,Month-to-month,9101-NTIXF,No,No,Male,1,50.6,0-12,2,No,No,No,0,Yes,Mailed check,No,No,No,No,No,19.4,No,
19.75,1,No,,0,,Month-to-month,9103-CXVOK,Yes,No,Male,1,19.75,0-12,1,No,No,No,0,Yes,Electronic check,Yes,No,No,No,No,19.75,No,
53.55,1,No,,0,,Month-to-month,9108-EJFJP,No,No,Female,1,53.55,0-12,1,No,No,No,0,Yes,Mailed check,Yes,Yes,Yes,Yes,No,53.55,DSL,
70.55,35,No,,0,,Month-to-month,9112-WSNPU,No,No,Female,1,2419,25-36,35,No,No,No,1,Yes,Electronic check,No,No,No,No,No,70.55,Fiber optic,
51.1,40,No,,0,,Month-to-month,9115-YQHGA,No,No,Male,1,2092.9,37-48,40,Yes,No,No,0,Yes,Electronic check,No,Yes,No,No,No,51.1,DSL,
85.05,16,No,,0,,Month-to-month,9121-PHQSR,No,No,Male,1,1391.15,13-24,16,No,Yes,No,1,Yes,Credit card (automatic),Yes,Yes,No,No,Yes,85.05,Fiber optic,
20.3,1,No,,0,,Month-to-month,9122-UMROB,No,No,Male,1,20.3,0-12,1,No,No,No,0,Yes,Mailed check,No,No,No,No,No,20.3,No,
103.6,18,No,,0,,Month-to-month,9129-UXERG,No,No,Female,1,1806.35,13-24,18,Yes,Yes,Yes,1,Yes,Credit card (automatic),No,Yes,No,Yes,Yes,103.6,Fiber optic,
98.7,23,No,,0,,Month-to-month,9133-AYJZG,No,No,Female,1,2249.1,13-24,23,No,Yes,Yes,0,Yes,Credit card (automatic),No,Yes,No,Yes,Yes,98.7,Fiber optic,
19.2,2,No,,0,,Month-to-month,9137-NOQKA,No,No,Male,1,37.2,0-12,2,No,No,No,1,Yes,Electronic check,No,No,No,No,No,19.2,No,
106.9,35,No,,0,,Month-to-month,9137-UIYPG,Yes,Yes,Female,1,3756.45,25-36,35,Yes,Yes,Yes,0,Yes,Electronic check,Yes,Yes,Yes,No,No,106.9,Fiber optic,
68.85,44,No,,0,,Month-to-month,9142-KZXOP,No,No,Male,1,2958.95,37-48,44,No,No,No,0,Yes,Credit card (automatic),No,No,No,No,No,68.85,Fiber optic,
19.35,29,No,,0,,Month-to-month,9142-XMYJH,No,No,Female,1,601.6,25-36,29,No,No,No,0,Yes,Credit card (automatic),No,No,No,No,No,19.35,No,
55.15,24,No,,0,,Month-to-month,9143-CANJF,Yes,No,Female,1,1319.85,13-24,24,Yes,No,No,0,Yes,Electronic check,Yes,No,Yes,No,No,55.15,DSL,
25.55,14,No,,0,,Month-to-month,9146-JRIOX,Yes,No,Female,1,372.45,13-24,14,No,No,No,0,Yes,Mailed check,Yes,No,No,No,Yes,25.55,No,
48.85,15,No,,0,,Month-to-month,9163-GHAYE,No,No,Female,1,736.8,13-24,15,No,No,No,0,Yes,Electronic check,No,No,No,Yes,No,48.85,DSL,
84.15,22,No,,0,,Month-to-month,9167-APMXZ,No,No,Female,1,1821.95,13-24,22,No,Yes,No,0,Yes,Bank transfer (automatic),No,Yes,No,No,Yes,84.15,Fiber optic,
104.15,44,No,,0,,Month-to-month,9168-INPSZ,No,Yes,Female,1,4495.65,37-48,44,Yes,Yes,Yes,1,Yes,Electronic check,Yes,No,No,No,Yes,104.15,Fiber optic,
74.75,12,No,,0,,Month-to-month,9169-BSVIN,No,Yes,Male,1,827.05,0-12,12,No,Yes,Yes,0,Yes,Bank transfer (automatic),No,No,No,No,Yes,74.75,DSL,
20.45,38,No,,0,,Month-to-month,9184-GALIL,Yes,No,Female,1,781.25,37-48,38,No,No,No,0,Yes,Mailed check,Yes,No,No,No,No,20.45,No,
84.95,18,No,,0,,Month-to-month,9208-OLGAQ,No,Yes,Female,1,1443.65,13-24,18,No,No,Yes,1,Yes,Electronic check,No,Yes,No,No,No,84.95,Fiber optic,
44,1,No,,0,,Month-to-month,9214-EKVXR,No,No,Female,1,44,0-12,1,No,No,No,0,Yes,Mailed check,No,Yes,No,No,No,44,DSL,
45.6,1,No,,0,,Month-to-month,9244-ZVAPM,No,No,Male,1,45.6,0-12,1,No,No,No,0,Yes,Mailed check,No,No,No,No,No,45.6,DSL,
20.3,11,No,,0,,Month-to-month,9256-JTBNZ,No,No,Female,1,246.3,0-12,11,No,No,No,0,Yes,Bank transfer (automatic),No,No,No,No,No,20.3,No,
54.65,3,No,,0,,Month-to-month,9261-WDCAF,No,No,Male,1,189.1,0-12,3,No,No,Yes,0,Yes,Mailed check,No,No,No,No,No,54.65,DSL,
70.15,10,No,,0,,Month-to-month,9272-LSVYH,No,No,Male,1,735.5,0-12,10,No,No,No,0,Yes,Mailed check,No,No,No,No,No,70.15,Fiber optic,
83.2,15,No,,0,,Month-to-month,9274-UARKJ,No,No,Female,1,1130,13-24,15,No,Yes,No,0,Yes,Bank transfer (automatic),No,Yes,No,Yes,No,83.2,Fiber optic,
24.6,3,No,,0,,Month-to-month,9277-JOOMO,No,No,Female,1,86.35,0-12,3,No,No,No,0,Yes,Mailed check,No,No,No,No,Yes,24.6,No,
109.1,52,No,,0,,Month-to-month,9278-VZKCD,No,Yes,Female,1,5647.95,49-60,52,No,Yes,Yes,1,Yes,Electronic check,Yes,Yes,Yes,Yes,Yes,109.1,Fiber optic,
95.4,21,No,,0,,Month-to-month,9279-CJEOJ,No,No,Female,1,2025.1,13-24,21,No,Yes,Yes,1,Yes,Bank transfer (automatic),No,Yes,No,No,Yes,95.4,Fiber optic,
90.7,39,No,,0,,Month-to-month,9281-OFDMF,No,No,Male,1,3413.25,37-48,39,No,No,Yes,1,Yes,Electronic check,No,No,No,Yes,Yes,90.7,Fiber optic,
43.95,46,No,,0,,Month-to-month,9281-PKKZE,No,No,Female,1,2007.85,37-48,46,No,Yes,Yes,0,No,Electronic check,Yes,Yes,No,No,No phone service,43.95,DSL,
96.85,13,No,,0,,Month-to-month,9290-SHCMB,No,Yes,Female,1,1235.55,13-24,13,No,Yes,Yes,1,Yes,Electronic check,No,Yes,No,No,No,96.85,Fiber optic,
20.2,5,No,,0,,Month-to-month,9294-TDIPC,Yes,No,Male,1,83.75,0-12,5,No,No,No,0,Yes,Mailed check,No,No,No,No,No,20.2,No,
55.3,47,No,,0,,Month-to-month,9308-ANMVE,Yes,No,Male,1,2654.05,37-48,47,No,No,No,0,Yes,Electronic check,No,Yes,Yes,Yes,No,55.3,DSL,
19.6,38,No,,0,,Month-to-month,9313-CDOGY,Yes,No,Male,1,717.3,37-48,38,No,No,No,0,Yes,Electronic check,Yes,No,No,No,No,19.6,No,
20.9,26,No,,0,,Month-to-month,9313-QOLTZ,No,No,Male,1,518.3,25-36,26,No,No,No,0,Yes,Mailed check,No,No,No,No,No,20.9,No,
84.8,14,No,,0,,Month-to-month,9314-IJWSQ,Yes,No,Female,1,1203.9,13-24,14,No,Yes,No,0,Yes,Electronic check,Yes,Yes,No,No,Yes,84.8,Fiber optic,
43.55,8,No,,0,,Month-to-month,9327-QSDED,No,No,Male,1,335.4,0-12,8,No,No,No,0,Yes,Mailed check,No,No,No,No,No,43.55,DSL,
54.85,6,No,,0,,Month-to-month,9332-GYWLO,Yes,No,Female,1,355.1,0-12,6,No,Yes,No,0,Yes,Electronic check,Yes,No,No,No,No,54.85,DSL,
74.85,7,No,,0,,Month-to-month,9334-GWGOW,No,No,Male,1,485.25,0-12,7,No,No,No,1,Yes,Electronic check,Yes,Yes,No,No,Yes,74.85,Fiber optic,
54.65,33,No,,0,,Month-to-month,9342-VNIMQ,No,No,Male,1,1665.2,25-36,33,No,No,No,0,Yes,Bank transfer (automatic),No,Yes,No,Yes,Yes,54.65,DSL,
44.8,4,No,,0,,Month-to-month,9348-YVOMK,No,No,Male,1,176.2,0-12,4,No,No,No,0,Yes,Credit card (automatic),No,Yes,No,No,No,44.8,DSL,
89.55,67,No,,0,,Month-to-month,9350-VLHMB,Yes,No,Male,1,6373.1,61+,67,No,No,Yes,0,Yes,Bank transfer (automatic),Yes,Yes,No,Yes,Yes,89.55,Fiber optic,
66.4,42,No,,0,,Month-to-month,9351-LZYGF,No,No,Female,1,2727.8,37-48,42,Yes,No,No,0,Yes,Credit card (automatic),Yes,Yes,Yes,Yes,Yes,66.4,DSL,
78.8,26,No,,0,,Month-to-month,9355-NPPFS,No,No,Female,1,2006.1,25-36,26,No,No,Yes,1,Yes,Electronic check,No,Yes,No,No,No,78.8,Fiber optic,
94.1,24,No,,0,,Month-to-month,9360-OMDZZ,No,No,Male,1,2322.85,13-24,24,No,Yes,Yes,0,Yes,Electronic check,No,Yes,No,No,Yes,94.1,Fiber optic,
64.1,40,No,,0,,Month-to-month,9362-MWODR,Yes,No,Female,1,2460.35,37-48,40,Yes,Yes,No,0,Yes,Credit card (automatic),No,Yes,Yes,No,No,64.1,DSL,
19.8,15,No,,0,,Month-to-month,9364-YKUVW,No,No,Male,1,309.4,13-24,15,No,No,No,0,Yes,Mailed check,No,Yes,No,No,No,19.8,No,
70.55,27,No,,0,,Month-to-month,9365-SRSZE,No,No,Male,1,1943.9,25-36,27,No,No,No,1,Yes,Electronic check,Yes,Yes,No,No,No,70.55,Fiber optic,
20.7,4,No,,0,,Month-to-month,9367-OIUXP,No,No,Male,1,73.05,0-12,4,No,No,No,0,Yes,Mailed check,No,No,No,No,No,20.7,No,
20.1,12,No,,0,,Month-to-month,9367-TCUYN,No,No,Female,1,223.6,0-12,12,No,No,No,0,Yes,Mailed check,No,No,No,No,No,20.1,No,
50,33,No,,0,,Month-to-month,9373-WSLOY,No,Yes,Male,1,1750.85,25-36,33,Yes,Yes,No,1,No,Electronic check,Yes,Yes,No,Yes,No phone service,50,DSL,
19.25,1,No,,0,,Month-to-month,9374-YOLBJ,Yes,No,Female,1,19.25,0-12,1,No,No,No,0,Yes,Electronic check,Yes,No,No,No,No,19.25,No,
50.05,6,No,,0,,Month-to-month,9375-MHRRS,No,No,Male,1,288.35,0-12,6,Yes,No,No,0,Yes,Mailed check,No,No,No,No,No,50.05,DSL,
69.95,5,No,,0,,Month-to-month,9389-ACWBI,Yes,No,Female,1,320.4,0-12,5,No,No,No,0,Yes,Credit card (automatic),Yes,No,No,No,No,69.95,Fiber optic,
19.5,23,No,,0,,Month-to-month,9391-TTOYH,No,No,Female,1,470.2,13-24,23,No,No,No,0,Yes,Mailed check,No,Yes,No,No,No,19.5,No,
48.85,15,No,,0,,Month-to-month,9396-ZSFLL,No,No,Female,1,631.4,13-24,15,No,No,No,0,Yes,Mailed check,No,No,No,No,Yes,48.85,DSL,
74.45,3,No,,0,,Month-to-month,9398-MMQTO,No,No,Male,1,221.1,0-12,3,No,No,No,0,Yes,Credit card (automatic),No,No,No,Yes,No,74.45,Fiber optic,
91.5,15,No,,0,,Month-to-month,9402-ORRAH,No,No,Female,1,1400.3,13-24,15,No,Yes,Yes,1,Yes,Electronic check,No,Yes,No,No,No,91.5,Fiber optic,
105.15,45,No,,0,,Month-to-month,9408-HRXRK,Yes,No,Female,1,4730.9,37-48,45,No,Yes,Yes,0,Yes,Electronic check,Yes,Yes,Yes,Yes,Yes,105.15,Fiber optic,
55.75,8,No,,0,,Month-to-month,9415-TPKRV,Yes,No,Female,1,446.8,0-12,8,No,No,No,0,Yes,Electronic check,Yes,No,No,Yes,Yes,55.75,DSL,
18.75,2,No,,0,,Month-to-month,9426-SXNHE,No,No,Female,1,53.15,0-12,2,No,No,No,0,Yes,Bank transfer (automatic),No,No,No,No,No,18.75,No,
70.8,17,No,,0,,Month-to-month,9432-VOFYX,No,No,Male,1,1207,13-24,17,No,No,No,0,Yes,Electronic check,No,Yes,No,No,No,70.8,Fiber optic,
19.1,1,No,,0,,Month-to-month,9441-QHEVC,No,No,Male,1,19.1,0-12,1,No,No,No,0,Yes,Mailed check,No,No,No,No,No,19.1,No,
85.2,27,No,,0,,Month-to-month,9445-ZUEQE,Yes,No,Male,1,2151.6,25-36,27,Yes,No,No,0,Yes,Credit card (automatic),Yes,Yes,No,Yes,Yes,85.2,Fiber optic,
83.15,35,No,,0,,Month-to-month,9450-TRJUU,No,No,Male,1,2848.45,25-36,35,No,Yes,No,0,Yes,Electronic check,No,No,No,No,Yes,83.15,Fiber optic,
19.05,25,No,,0,,Month-to-month,9467-ROOLM,No,No,Female,1,461.3,25-36,25,No,No,No,0,Yes,Mailed check,No,No,No,No,No,19.05,No,
90.35,37,No,,0,,Month-to-month,9469-WEJBT,No,Yes,Male,1,3419.3,37-48,37,Yes,No,Yes,0,Yes,Electronic check,Yes,Yes,No,No,No,90.35,Fiber optic,
89.65,35,No,,0,,Month-to-month,9470-XCCEM,Yes,No,Male,1,3161.6,25-36,35,No,Yes,No,0,Yes,Bank transfer (automatic),Yes,Yes,No,Yes,Yes,89.65,Fiber optic,
112.9,72,No,,0,,Month-to-month,9481-IEBZY,No,Yes,Male,1,8061.5,61+,72,Yes,Yes,Yes,1,Yes,Credit card (automatic),Yes,Yes,Yes,Yes,Yes,112.9,Fiber optic,
59.8,14,No,,0,,Month-to-month,9481-SFCQY,Yes,Yes,Female,1,824.85,13-24,14,No,Yes,No,0,Yes,Credit card (automatic),No,Yes,No,No,No,59.8,DSL,
60.9,8,No,,0,,Month-to-month,9489-UTFKA,No,No,Male,1,551.95,0-12,8,No,Yes,No,1,Yes,Bank transfer (automatic),Yes,No,Yes,No,No,60.9,DSL,
75.05,10,No,,0,,Month-to-month,9494-MRNYX,No,No,Male,1,786.3,0-12,10,No,No,No,0,Yes,Electronic check,No,No,No,No,Yes,75.05,Fiber optic,
95.95,45,No,,0,,Month-to-month,9495-SKLKD,Yes,Yes,Male,1,4456.65,37-48,45,No,No,Yes,0,Yes,Bank transfer (automatic),Yes,Yes,No,Yes,Yes,95.95,Fiber optic,
51,11,No,,0,,Month-to-month,9496-IVVRP,Yes,No,Female,1,581.7,0-12,11,No,No,No,0,Yes,Bank transfer (automatic),Yes,No,Yes,No,No,51,DSL,
80.05,35,No,,0,,Month-to-month,9500-LTVBP,No,No,Female,1,2835.9,25-36,35,Yes,No,No,0,Yes,Credit card (automatic),No,No,No,No,Yes,80.05,Fiber optic,
51.7,59,No,,0,,Month-to-month,9501-UKKNL,No,No,Male,1,3005.8,49-60,59,Yes,Yes,Yes,0,No,Electronic check,No,Yes,No,No,No phone service,51.7,DSL,
